title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_seasons_aggregated,tconst,imdb_title_type,rotten_tomatoes_numeric,log_hours_viewed_2023,log_imdb_ratecount_2021
Half & Half,2002,7+,7.1,51/100,0,0,0,1,TRUE,1541,11400000,600000,FALSE,FALSE,,8,tt0320024,tvSeries,51,16.249124001084,7.34083555412328
Chappelle's Show,2003,18+,8.7,83/100,0,0,0,1,TRUE,56797,12500000,1400000,FALSE,FALSE,,4,tt0353049,tvSeries,83,16.3412392822725,10.9472563928217
NCIS,2003,16+,7.7,81/100,0,0,0,1,TRUE,123588,595200000,16700000,FALSE,FALSE,,30,tt0364845,tvSeries,81,20.2044080431633,11.7247168232815
Arrested Development,2003,16+,8.7,87/100,1,0,0,2,FALSE,281893,73900000,4800000,FALSE,FALSE,2010-04-01,8,tt0367279,tvSeries,87,18.1182233994502,12.5492863927324
Sonic X,2003,16+,6.2,57/100,1,1,0,3,FALSE,3898,22900000,900000,TRUE,TRUE,,4,tt0367413,tvSeries,57,16.9466475121926,8.2684753889826
One Piece,1999,7+,8.8,85/100,1,0,0,2,FALSE,77850,541900000,71600000,TRUE,TRUE,2023-08-31,1,tt0388629,tvSeries,85,20.1105920423817,11.2625520223948
The Staircase,2005,16+,7.9,74/100,0,0,0,1,TRUE,19786,9100000,400000,TRUE,TRUE,2018-06-08,2,tt0388644,tvSeries,74,16.0237850813772,9.89278043539244
Naruto,2002,7+,8.3,81/100,1,0,0,2,FALSE,76916,255600000,11700000,FALSE,FALSE,,18,tt0409591,tvSeries,81,19.35912428438,11.2504821973821
Grey's Anatomy,2005,16+,7.5,87/100,1,0,0,2,FALSE,261413,1346800000,50700000,FALSE,FALSE,,38,tt0413573,tvSeries,87,21.0209972459937,12.473860636504
Code Lyoko,2003,7+,7.3,57/100,0,0,0,1,TRUE,4708,1600000,,TRUE,FALSE,,4,tt0417311,tvSeries,57,14.2855148122098,8.45723085024356
Fullmetal Alchemist,2003,16+,8.5,73/100,0,0,0,1,TRUE,64098,800000,,FALSE,FALSE,,1,tt0421357,tvSeries,73,13.5923682566493,11.068184042163
Winx Club,2004,all,6.2,57/100,0,0,0,1,TRUE,4595,11600000,400000,FALSE,FALSE,,5,tt0421482,tvSeries,57,16.2665157422835,8.43294163896865
Cold Case Files,1999,18+,8.1,60/100,1,1,0,3,FALSE,1511,54800000,1900000,FALSE,FALSE,,3,tt0426666,tvSeries,60,17.8192007701664,7.32118855673948
Bleach,2004,18+,8.1,73/100,1,0,0,2,FALSE,45599,2600000,,TRUE,TRUE,2018-09-14,1,tt0434665,tvSeries,73,14.771022387607,10.7276629955025
Johnny Test,2005,all,5.1,53/100,0,0,0,1,TRUE,7130,17700000,1800000,TRUE,TRUE,2021-07-16,4,tt0454349,tvSeries,53,16.6890752540412,8.8722067560283
Vientos de agua,2006,Unknown,8.8,55/100,0,0,0,1,TRUE,937,1600000,100000,FALSE,FALSE,,2,tt0459724,tvMiniSeries,55,14.2855148122098,6.84374994900623
The IT Crowd,2006,16+,8.5,86/100,0,0,0,1,TRUE,137591,12700000,1500000,TRUE,FALSE,,10,tt0487831,tvSeries,86,16.357112630169,11.8320480632563
Pocoyo,2005,all,7.4,48/100,1,1,0,3,FALSE,1292,68000000,6900000,FALSE,FALSE,,8,tt0487849,tvSeries,48,18.0350182778463,7.16472037877186
H2O: Just Add Water,2006,all,7.2,64/100,1,0,0,2,FALSE,13116,115500000,4400000,FALSE,FALSE,,6,tt0491603,tvSeries,64,18.5647810965841,9.48166437781514
The Game,2006,16+,6.7,59/100,1,1,0,3,FALSE,3991,200000,,FALSE,FALSE,,1,tt0772137,tvSeries,59,12.2060776455177,8.29204763743135
Monty Python's Personal Best,2006,16+,7.9,46/100,0,0,0,1,TRUE,404,200000,,FALSE,FALSE,,1,tt0795156,tvSeries,46,12.2060776455177,6.00388706710654
Ouran High School Host Club,2006,16+,8.2,66/100,1,0,0,2,FALSE,8635,7400000,200000,FALSE,FALSE,,2,tt0816397,tvSeries,66,15.8169906933095,9.0636947916347
Death Note,2006,16+,9,84/100,1,0,0,2,FALSE,256207,500000,,FALSE,FALSE,,1,tt0877057,tvSeries,84,13.1223653774023,12.4537448935623
Breaking Bad,2008,18+,9.4,100/100,0,0,0,1,TRUE,1527259,850500000,36400000,FALSE,FALSE,,10,tt0903747,tvSeries,100,20.561334970976,14.2389858382071
The Innocent Man,2018,18+,7.3,65/100,0,0,0,1,TRUE,5247,7000000,700000,TRUE,TRUE,2018-12-14,2,tt0914376,tvMiniSeries,65,15.7614208498767,8.56560233062393
Gurren Lagann,2007,16+,8.3,66/100,0,0,0,1,TRUE,15360,100000,,FALSE,FALSE,,1,tt0948103,tvSeries,66,11.5129354649202,9.63958710874915
Shaun the Sheep,2007,all,8.2,65/100,0,1,0,2,FALSE,12571,13600000,2600000,FALSE,FALSE,,4,tt0983983,tvSeries,65,16.4255804242357,9.43922739791746
Horrid Henry,2006,7+,6.4,44/100,0,1,0,2,FALSE,711,26300000,1400000,FALSE,FALSE,,14,tt0985991,tvSeries,44,17.0850795351708,6.56807791141198
Code Geass: Lelouch of the Rebellion,2006,18+,8.7,72/100,0,0,0,1,TRUE,54471,3700000,100000,FALSE,FALSE,,3,tt0994314,tvSeries,72,15.1238436478847,10.9054420871628
Blood of Zeus,2020,Unknown,7.5,62/100,0,0,0,1,TRUE,13487,8200000,900000,TRUE,TRUE,2020-10-27,2,tt10009170,tvSeries,62,15.9196448341857,9.50955568024164
My Husband Won't Fit,2019,Unknown,6.7,46/100,0,0,0,1,TRUE,677,2000000,200000,TRUE,TRUE,2019-03-20,2,tt10027946,tvSeries,46,14.5086582385241,6.5191472879404
Gentefied,2020,16+,7.4,60/100,0,0,0,1,TRUE,1741,5400000,300000,TRUE,TRUE,2020-02-21,4,tt10037034,tvSeries,60,15.5019096967197,7.46278915741245
You vs. Wild,2019,Unknown,7,55/100,0,0,0,1,TRUE,2291,16500000,3100000,TRUE,TRUE,2019-04-10,2,tt10044952,tvSeries,55,16.6188709994769,7.73718007783463
The Queen's Gambit,2020,18+,8.6,92/100,0,0,0,1,TRUE,322175,83000000,5600000,TRUE,TRUE,2020-10-23,2,tt10048342,tvMiniSeries,92,18.2343511778091,12.6828532590549
Followers,2020,18+,6.2,42/100,0,0,0,1,TRUE,417,1200000,100000,TRUE,TRUE,2020-02-27,2,tt10049610,tvSeries,42,13.9978329480912,6.03548143252476
Mighty Little Bheem,2019,all,6.7,44/100,0,0,0,1,TRUE,199,53100000,11500000,TRUE,TRUE,2019-04-12,6,tt10050752,tvSeries,44,17.7876875050446,5.29831736654804
I Think You Should Leave with Tim Robinson,2019,18+,7.8,81/100,0,0,0,1,TRUE,6275,27400000,8400000,TRUE,TRUE,2019-04-23,6,tt10050772,tvSeries,81,17.1260536078546,8.74448811385292
Abyss,2019,16+,7.1,53/100,0,0,0,1,TRUE,1398,24000000,800000,TRUE,TRUE,2019-05-06,2,tt10055734,tvSeries,53,16.9935644299789,7.24351297466548
Never Have I Ever,2020,16+,7.9,86/100,0,0,0,1,TRUE,27637,479200000,28700000,TRUE,TRUE,2020-04-27,8,tt10062292,tvSeries,86,19.9876286068523,10.2269469163634
Stolen Away,2020,Unknown,7.1,48/100,0,0,0,1,TRUE,1922,26200000,1500000,FALSE,FALSE,2020-06-05,2,tt10064124,tvSeries,48,17.0812700068993,7.56164174558878
Home for Christmas,2019,18+,7.7,60/100,0,0,0,1,TRUE,10961,10400000,3100000,TRUE,TRUE,2019-12-05,4,tt10069398,tvSeries,60,16.1573164602654,9.30219002560606
Tiffany Haddish Presents: They Ready,2019,Unknown,6.3,43/100,0,0,0,1,TRUE,476,400000,,TRUE,TRUE,2019-08-13,2,tt10085386,tvSeries,43,12.899222326087,6.16751649088834
Morphle,2019,all,4.9,34/100,1,0,0,2,FALSE,50,20400000,7700000,TRUE,TRUE,,1,tt10087694,tvSeries,34,16.8310455078341,3.93182563272433
Move,2020,Unknown,,40/100,0,0,0,1,TRUE,84,200000,,TRUE,TRUE,2020-10-23,1,tt10092764,tvSeries,40,12.2060776455177,4.44265125649032
Feel Good,2020,18+,7.5,77/100,0,0,0,1,TRUE,6299,2500000,400000,TRUE,TRUE,2021-06-04,2,tt10098620,tvSeries,77,14.7318016898383,8.74830491237962
Curon,2020,18+,5.8,56/100,0,0,0,1,TRUE,3477,5400000,500000,TRUE,TRUE,2020-06-10,2,tt10101518,tvSeries,56,15.5019096967197,8.15421269491423
Seis Manos,2019,18+,7.2,61/100,0,0,0,1,TRUE,1209,2200000,200000,TRUE,TRUE,2019-10-03,2,tt10106108,tvSeries,61,14.6039683728739,7.09837563859079
The Defected,2019,Unknown,7.2,40/100,0,0,0,1,TRUE,48,500000,,FALSE,FALSE,,1,tt10141612,tvSeries,40,13.1223653774023,3.89182029811063
Spectros,2020,18+,4.7,41/100,0,0,0,1,TRUE,338,600000,100000,TRUE,TRUE,2020-02-20,2,tt10145110,tvSeries,41,13.3046866008636,5.82600010738045
The Minions of Midas,2020,Unknown,6.6,53/100,0,0,0,1,TRUE,3374,4800000,400000,TRUE,TRUE,2020-11-13,2,tt10147520,tvMiniSeries,53,15.3841266842114,8.12415060330663
Sneakerheads,2020,Unknown,6.2,47/100,0,0,0,1,TRUE,1115,3100000,500000,TRUE,TRUE,2020-09-25,2,tt10151772,tvSeries,47,14.946912992036,7.01750614294126
Julie and the Phantoms,2020,7+,8.5,74/100,0,0,0,1,TRUE,7138,21300000,2200000,TRUE,TRUE,2020-09-10,2,tt10183988,tvSeries,74,16.874217677628,8.87332798950246
It's Bruno!,2019,7+,7.5,63/100,0,0,0,1,TRUE,2610,1000000,100000,TRUE,TRUE,2019-05-17,2,tt10186846,tvSeries,63,13.8155115579638,7.86748856869913
One Spring Night,2019,Unknown,7.9,51/100,0,0,0,1,TRUE,1653,27000000,800000,TRUE,TRUE,2019-05-22,2,tt10192576,tvSeries,51,17.1113474610056,7.41095187558364
Sons of the Caliphate,2016,Unknown,,13/100,0,0,0,1,TRUE,27,100000,,FALSE,FALSE,,1,tt10202268,tvSeries,13,11.5129354649202,3.3322045101752
Pandora,2019,7+,4.2,52/100,0,1,0,2,FALSE,3094,2700000,,FALSE,FALSE,2017-03-17,1,tt10207090,tvSeries,52,14.8087627013449,8.0375431851187
Chief of Staff,2019,16+,7.9,44/100,0,0,0,1,TRUE,321,5100000,200000,TRUE,TRUE,2019-06-14,4,tt10220476,tvSeries,44,15.444751293773,5.77455154554441
Legend Quest: Masters of Myth,2019,Unknown,7.7,39/100,0,0,0,1,TRUE,101,1900000,200000,TRUE,TRUE,2019-10-05,2,tt10228032,tvSeries,39,14.4573649704523,4.62497281328427
Bombay Begums,2021,Unknown,4.9,48/100,0,0,0,1,TRUE,3469,2000000,200000,TRUE,TRUE,2021-03-08,2,tt10238792,tvSeries,48,14.5086582385241,8.15190987294091
Reality Z,2020,18+,5.4,53/100,0,0,0,1,TRUE,2098,5100000,400000,TRUE,TRUE,2020-06-10,2,tt10241238,tvSeries,53,15.444751293773,7.64921631982063
Crime Diaries: Night Out,2019,Unknown,7.8,44/100,0,0,0,1,TRUE,702,5400000,600000,TRUE,TRUE,2019-05-03,2,tt10242266,tvMiniSeries,44,15.5019096967197,6.55535689181067
Jailbirds,2019,18+,7.1,49/100,0,0,0,1,TRUE,908,8000000,700000,TRUE,TRUE,2019-05-10,2,tt10243628,tvSeries,49,15.8949522246441,6.81234509417748
Killer Ratings,2019,18+,8,53/100,0,0,0,1,TRUE,1334,2300000,200000,TRUE,TRUE,2019-05-31,2,tt10243692,tvMiniSeries,53,14.6484201156819,7.19668657083435
